Title,Price,Shipping Price,Sold Items
Apple Watch Ultra 49mm Titanium (GPS + Cellular) Ocean Band Midnight - Very Good,$488.99,$39.09 shipping,Only 1 left!
Google Pixel Watch 41mm GPS + WiFi + LTE Unlocked Gold Black Silver Watch - Good,$83.99,$27.14 shipping,54 sold
Samsung Galaxy Watch4 Classic 42mm R885 GPS + Cellular - Good,$51.99,$26.20 shipping,157 sold
Google Pixel Watch 41mm Black Case with Obsidian Active Band (LTE) - Good,$83.99,$27.87 shipping,162 sold
Apple Watch Series 7 45mm (GPS + WIFI) Aluminum Case Sport Band (Midnight)  Good,$189.99,$31.00 shipping,Not sold
Apple Watch Series SE (2nd Gen) 40mm GPS + WiFi + Bluetooth Excellent Condition,$142.99,$28.88 shipping,27 sold
Apple Watch SE Series  (2nd Gen) GPS +Cellular 44mm Smart Watch - Excellent,$167.99,$29.62 shipping,460 sold
Samsung Galaxy Watch5 Pro Sm-r920 45mm Gps 16GB - Excellent,$139.99,$28.79 shipping,Not sold
Apple Watch SE Series  (2nd Gen) GPS +Cellular 44mm Smart Watch - Excellent,$167.99,$29.62 shipping,460 sold
Samsung Galaxy Watch5 44mm R910N GPS - Good,$84.99,$27.17 shipping,Not sold
Samsung Galaxy Watch5 Pro 45mm R920N GPS - Good,$103.99,$28.46 shipping,378 sold
Apple Watch Series 6 Nike GPS + Cellular 44mm Case with Sport Band - Excellent,$159.95,$30.11 shipping,Not sold
Samsung Galaxy Watch5 Pro 45mm R925N GPS + Cellular - Excellent,$139.99,$29.52 shipping,281 sold
Samsung Galaxy Watch 4 40mm GPS + WiFi + Bluetooth R860 Smart Watch - Good,$59.99,$27.16 shipping,358 sold
"Samsung Galaxy Watch 3 41mm R855U GPS + Cellular Aluminum Case + Band, Very Good",$34.19,$25.67 shipping,32 watching
Apple Watch Series 7 GPS 45mm Starlight Aluminum Case with Starlight Sport Band,$161.99,$30.17 shipping,Only 1 left!
"Samsung Galaxy Watch 3 41mm R855U GPS + Cellular Aluminum Case + Band, Good",$32.03,$25.61 shipping,6 watching
Samsung Galaxy Watch 5 44mm GPS + WiFi + Cellular Unlocked R915 - Very Good,$107.99,$27.85 shipping,91 sold
Apple Watch Series 4 40MM Rose Gold Aluminum w/ Pink Sport (GPS) - Very Good,$79.99,$27.02 shipping,Only 1 left!
Google Pixel Watch 41mm GPS + WiFi + LTE Unlocked Gold Black Silver Watch - Good,$83.99,$27.14 shipping,54 sold
Apple Watch Series 6 40mm (GPS + Cellular) Aluminum Case - Very Good,$131.99,$28.56 shipping,38 sold
Apple Watch Series 8 GPS + Cellular 45mm Case with Sport Band - Excellent,$252.95,$32.85 shipping,56 sold
Apple Watch Series 8 41MM 45MM All Colors GPS or Cellular Aluminum - Very Good,$249.99,$32.04 shipping,48 sold
Apple Watch Series 5 40mm (GPS) Aluminum Case - Good,$103.99,$27.73 shipping,84 sold
Samsung Galaxy Watch 4 44mm WiFi + LTE 4G UNLOCKED R875 Smart Watch - Good,$60.99,$27.19 shipping,90 sold
Samsung Galaxy Watch5 44mm R910N GPS Golf Edition - Excellent,$149.99,$29.09 shipping,Not sold
Apple Watch Series 4 44mm (GPS + Cellular) Aluminum Case - Very Good,$103.99,$27.73 shipping,28 sold
Samsung Galaxy Watch4 Classic 46mm R890 GPS - Excellent,$79.99,$27.02 shipping,275 sold
Apple Watch Series 5 40mm (GPS) Aluminum Case - Excellent,$126.99,$28.41 shipping,147 sold
"Samsung Galaxy Watch 5 44mm R915U Cellular Aluminum Case + Black Band, Very Good",$97.89,$27.55 shipping,7 watching
"Apple Watch Series 4 40mm A1977 GPS + Wi-Fi Aluminum Case + Bands, Excellent",$110.39,$27.92 shipping,6 watching
Samsung Galaxy Watch5 Pro - GPS + Cellular - 45mm - Black Titanium - Good,$112.00,$27.97 shipping,Only 1 left!
Samsung Gear Fit2 SM-R360 Fitness Smartwatch Large - Black,$69.95,$19.36 shipping,68 sold
Apple Watch (Series 5) 44mm Space Black Titanium w/ Dark Gray Sport (LTE) - Good,$129.99,$28.50 shipping,Not sold
